pasta,nome,njud,data,mes,ano,dia_util
03 - MAR - 26,NJUD_1402_31-03-2026.mp3,1402,2026-03-31,3,2026,sim
04 - ABR - 26,NJUD_1501_06-04-2026.mp3,1501,2026-04-06,4,2026,sim
04 - ABR - 26,NJUD_1502_07-04-2026.mp3,1502,2026-04-07,4,2026,sim
04 - ABR - 26,NJUD_1503_08-04-2026.mp3,1503,2026-04-08,4,2026,sim
04 - ABR - 26,NJUD_1504_09-04-2026.mp3,1504,2026-04-09,4,2026,sim
04 - ABR - 26,NJUD_1505_10-04-2026.mp3,1505,2026-04-10,4,2026,sim
04 - ABR - 26,NJUD_1601_13-04-2026.mp3,1601,2026-04-13,4,2026,sim
04 - ABR - 26,NJUD_1602_14-04-2026.mp3,1602,2026-04-14,4,2026,sim
04 - ABR - 26,NJUD_1603_15-04-2026.mp3,1603,2026-04-15,4,2026,sim
04 - ABR - 26,NJUD_1927_15-04-2026.mp3,1927,2026-04-15,4,2026,sim
04 - ABR - 26,NJUD_1604_16-04-2026.mp3,1604,2026-04-16,4,2026,sim
04 - ABR - 26,NJUD_1605_17-04-2026.mp3,1605,2026-04-17,4,2026,sim
04 - ABR - 26,NJUD_1703_22-04-2026.mp3,1703,2026-04-22,4,2026,sim
04 - ABR - 26,NJUD_1704_23-04-2026.mp3,1704,2026-04-23,4,2026,sim
04 - ABR - 26,NJUD_1705_24-04-2026.mp3,1705,2026-04-24,4,2026,sim
04 - ABR - 26,NJUD_1707_26-04-2026.mp3,1707,2026-04-26,4,2026,nao
04 - ABR - 26,NJUD_1801_27-04-2026.mp3,1801,2026-04-27,4,2026,sim
04 - ABR - 26,NJUD_1802_28-04-2026.mp3,1802,2026-04-28,4,2026,sim
04 - ABR - 26,NJUD_1803_29-04-2026.mp3,1803,2026-04-29,4,2026,sim
04 - ABR - 26,NJUD_1804_30-04-2026.mp3,1804,2026-04-30,4,2026,sim
05 - MAI - 26,NJUD_1865_04-05-2026.mp3,1865,2026-05-04,5,2026,sim
05 - MAI - 26,NJUD_1901_04-05-2026.mp3,1901,2026-05-04,5,2026,sim
05 - MAI - 26,NJUD_1866_05-05-2026.mp3,1866,2026-05-05,5,2026,sim
05 - MAI - 26,NJUD_1902_05-05-2026.mp3,1902,2026-05-05,5,2026,sim
05 - MAI - 26,NJUD_1867_06-05-2026.mp3,1867,2026-05-06,5,2026,sim
05 - MAI - 26,NJUD_1903_06-05-2026.mp3,1903,2026-05-06,5,2026,sim
05 - MAI - 26,NJUD_1868_07-05-2026.mp3,1868,2026-05-07,5,2026,sim
05 - MAI - 26,NJUD_1904_07-05-2026.mp3,1904,2026-05-07,5,2026,sim
05 - MAI - 26,NJUD_1869_08-05-2026.mp3,1869,2026-05-08,5,2026,sim
