LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
126,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1201_16-03-2026.mp3,NJUD_1201,1201
128,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1202_17-03-2026.mp3,NJUD_1202,1202
130,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1203_18-03-2026.mp3,NJUD_1203,1203
132,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1204_19-03-2026.mp3,NJUD_1204,1204
134,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1205_20-03-2026.mp3,NJUD_1205,1205
136,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1301_23-03-2026.mp3,NJUD_1301,1301
138,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1302_24-03-2026.mp3,NJUD_1302,1302
141,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1304_26-03-2026.mp3,NJUD_1304,1304
142,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1305_27-03-2026.mp3,NJUD_1305,1305
143,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1401_30-03-2026.mp3,NJUD_1401,1401
144,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1402_31-03-2026.mp3,NJUD_1402,1402
145,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1501_06-04-2026.mp3,NJUD_1501,1501
146,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1502_07-04-2026.mp3,NJUD_1502,1502
147,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1503_08-04-2026.mp3,NJUD_1503,1503
148,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1504_09-04-2026.mp3,NJUD_1504,1504
149,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1505_10-04-2026.mp3,NJUD_1505,1505
150,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1601_13-04-2026.mp3,NJUD_1601,1601
151,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1602_14-04-2026.mp3,NJUD_1602,1602
152,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1603_15-04-2026.mp3,NJUD_1603,1603
154,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1604_16-04-2026.mp3,NJUD_1604,1604
156,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1605_17-04-2026.mp3,NJUD_1605,1605
161,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1703_22-04-2026.mp3,NJUD_1703,1703
164,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1704_23-04-2026.mp3,NJUD_1704,1704
168,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1705_24-04-2026.mp3,NJUD_1705,1705
171,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\04 - ABR - 26\NJUD_1707_26-04-2026.mp3,NJUD_1707,1707
204,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2001_11-05-2026.mp3,NJUD_2001,2001
206,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2002_12-05-2026.mp3,NJUD_2002,2002
208,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2003_13-05-2026.mp3,NJUD_2003,2003
210,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2004_14-05-2026.mp3,NJUD_2004,2004
212,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2005_15-05-2026.mp3,NJUD_2005,2005
214,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2101_18-05-2026.mp3,NJUD_2101,2101
216,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2102_19-05-2026.mp3,NJUD_2102,2102
217,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2103_20-05-2026.mp3,NJUD_2103,2103
219,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\05 - MAI - 26\NJUD_2104_21-05-2026.mp3,NJUD_2104,2104
