MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
FEV,2,NJUD_0601,02/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0601_02-02-2026.mp3
FEV,2,NJUD_1811,02/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1811_02-02-2026.mp3
FEV,3,NJUD_0602,03/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0602_03-02-2026.mp3
FEV,3,NJUD_1812,03/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1812_03-02-2026.mp3
FEV,3,NJUD_1813,03/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1813_03-02-2026.mp3
FEV,3,NJUD_1814,03/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1814_03-02-2026.mp3
FEV,4,NJUD_0603,04/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0603_04-02-2026.mp3
FEV,4,NJUD_1815,04/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1815_04-02-2026.mp3
FEV,4,NJUD_1816,04/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1816_04-02-2026.mp3
FEV,5,NJUD_0604,05/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0604_05-02-2026.mp3
FEV,5,NJUD_1818,05/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1818_05-02-2026.mp3
FEV,5,NJUD_1819,05/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1819_05-02-2026.mp3
FEV,6,NJUD_0605,06/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0605_06-02-2026.mp3
FEV,6,NJUD_1820,06/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1820_06-02-2026.mp3
FEV,6,NJUD_1821,06/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1821_06-02-2026.mp3
FEV,9,NJUD_0701,09/02/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0701_09-02-2026.mp3
