arquivo,pasta_drive,status,observacao
NJUD_1848_06-04-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1827_03-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1829_05-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1830_06-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1832_10-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1834_12-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1836_16-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1837_17-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1839_19-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1841_23-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1842_24-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1844_26-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1846_30-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1847_30-03-2026.mp3,03 - MAR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1827_03-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1830_06-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1832_10-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1834_12-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1837_17-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1839_19-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1842_24-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1844_26-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1847_30-03-2026.mp3,03 - MAR - 26\_extra,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1501_06-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1502_07-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1503_08-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1504_09-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1505_10-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1601_13-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1602_14-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1603_15-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1604_16-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1605_17-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1703_22-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1704_23-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1705_24-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1802_22-01-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1803_23-01-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1804_26-01-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1707_26-04-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1801_21-01-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1927_03-08-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1902_26-06-2026.mp3,04 - ABR - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
