LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
69,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1825_10-02-2026.mp3,NJUD_1825,1825
70,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1826_10-02-2026.mp3,NJUD_1826,1826
72,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1813_11-02-2026.mp3,NJUD_1813,1813
74,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1815_12-02-2026.mp3,NJUD_1815,1815
77,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1820_16-02-2026.mp3,NJUD_1820,1820
78,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1823_17-02-2026.mp3,NJUD_1823,1823
79,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1825_18-02-2026.mp3,NJUD_1825,1825
81,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1841_19-02-2026.mp3,NJUD_1841,1841
83,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1846_20-02-2026.mp3,NJUD_1846,1846
85,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1903_23-02-2026.mp3,NJUD_1903,1903
87,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1908_24-02-2026.mp3,NJUD_1908,1908
88,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1913_25-02-2026.mp3,NJUD_1913,1913
90,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1918_26-02-2026.mp3,NJUD_1918,1918
92,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - 02 - 26\NJUD_1896_27-02-2026.mp3,NJUD_1896,1896
94,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1827_02-03-2026.mp3,NJUD_1827,1827
95,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1828_02-03-2026.mp3,NJUD_1828,1828
97,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1829_03-03-2026.mp3,NJUD_1829,1829
98,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1830_03-03-2026.mp3,NJUD_1830,1830
99,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1831_03-03-2026.mp3,NJUD_1831,1831
101,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1832_04-03-2026.mp3,NJUD_1832,1832
102,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1833_04-03-2026.mp3,NJUD_1833,1833
104,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1834_05-03-2026.mp3,NJUD_1834,1834
105,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1835_05-03-2026.mp3,NJUD_1835,1835
107,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1836_06-03-2026.mp3,NJUD_1836,1836
108,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1837_06-03-2026.mp3,NJUD_1837,1837
109,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1838_06-03-2026.mp3,NJUD_1838,1838
111,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1839_09-03-2026.mp3,NJUD_1839,1839
112,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1840_09-03-2026.mp3,NJUD_1840,1840
