[22:02:32] JORNAIS=619 (+0) | PROCESSED=90 (+2) | OUTPUT=0 (+0) | CABECA=45 CORPO=45 | audit=missing
[22:03:02] JORNAIS=619 (+0) | PROCESSED=94 (+4) | OUTPUT=0 (+0) | CABECA=47 CORPO=47 | audit=missing
[22:03:32] JORNAIS=619 (+0) | PROCESSED=96 (+2) | OUTPUT=0 (+0) | CABECA=48 CORPO=48 | audit=missing
[22:04:02] JORNAIS=619 (+0) | PROCESSED=98 (+2) | OUTPUT=0 (+0) | CABECA=49 CORPO=49 | audit=missing
[22:04:32] JORNAIS=619 (+0) | PROCESSED=100 (+2) | OUTPUT=0 (+0) | CABECA=50 CORPO=50 | audit=missing
[22:05:02] JORNAIS=619 (+0) | PROCESSED=104 (+4) | OUTPUT=0 (+0) | CABECA=52 CORPO=52 | audit=missing
[22:05:32] JORNAIS=619 (+0) | PROCESSED=106 (+2) | OUTPUT=0 (+0) | CABECA=53 CORPO=53 | audit=missing
[22:06:02] JORNAIS=619 (+0) | PROCESSED=108 (+2) | OUTPUT=0 (+0) | CABECA=54 CORPO=54 | audit=missing
[22:06:32] JORNAIS=619 (+0) | PROCESSED=110 (+2) | OUTPUT=0 (+0) | CABECA=55 CORPO=55 | audit=missing
[22:07:02] JORNAIS=619 (+0) | PROCESSED=112 (+2) | OUTPUT=0 (+0) | CABECA=56 CORPO=56 | audit=missing
[22:07:33] JORNAIS=619 (+0) | PROCESSED=116 (+4) | OUTPUT=0 (+0) | CABECA=58 CORPO=58 | audit=missing
[22:08:03] JORNAIS=619 (+0) | PROCESSED=118 (+2) | OUTPUT=0 (+0) | CABECA=59 CORPO=59 | audit=missing
[22:08:33] JORNAIS=619 (+0) | PROCESSED=120 (+2) | OUTPUT=0 (+0) | CABECA=60 CORPO=60 | audit=missing
[22:09:03] JORNAIS=619 (+0) | PROCESSED=122 (+2) | OUTPUT=0 (+0) | CABECA=61 CORPO=61 | audit=missing
[22:09:33] JORNAIS=619 (+0) | PROCESSED=126 (+4) | OUTPUT=0 (+0) | CABECA=63 CORPO=63 | audit=missing
[22:10:03] JORNAIS=619 (+0) | PROCESSED=128 (+2) | OUTPUT=0 (+0) | CABECA=64 CORPO=64 | audit=missing
[22:10:33] JORNAIS=619 (+0) | PROCESSED=130 (+2) | OUTPUT=0 (+0) | CABECA=65 CORPO=65 | audit=missing
