arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_23_04_2026_B5_EMPRESA_ONIBUS_CONDENACAO_CABECA.mp3,CABECA,OK,9.72,O,passageiros.,,,-70.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_23_04_2026_B7_TCE_RN_TREINAMENTO_GESTORES_TRANSPARENCIA__CABECA.mp3,CABECA,OK,5.1,PCRN,transparência.,,,-120.0,-20.6,0,0,ok
BOLETIM_RADIO_TJRN_23_04_2026_B8_MPRN_RECOMENDA_REGULARIZACAO_LIXO_CABECA.mp3,CABECA,OK,17.84,O,urbana.,,,-53.0,-36.3,0,0,ok
BOLETIM_RADIO_TJRN_24_04_2026_B1_ATRASO_TRANSPORTE_INDENIZACAO_CABECA.mp3,CABECA,OK,4.44,O,Parnamirim,,,-63.5,-39.8,0,0,ok
BOLETIM_RADIO_TJRN_24_04_2026_B2_BLOQUEIO_INDEVIDO_APLICATIVO_CABECA.mp3,CABECA,OK,7.84,A,mensagens.,,,-42.9,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_24_04_2026_B5_REGULARIZACAO_EMPREENDIMENTO_PONTA_NEGRA_CABECA.mp3,CABECA,OK,12.75,A,Natal.,,,-120.0,-18.1,0,0,ok
BOLETIM_RADIO_TJRN_24_04_2026_B7_TRT_DIALOGO_CONCILIACAO_CABECA.mp3,CABECA,OK,4.76,do,trabalhistas.,,,-67.4,-27.3,0,0,ok
BOLETIM_RADIO_TJRN_27_04_2026_B1_PLANO_SAUDE_CIRURGIA_BARIATRICA_CABECA.mp3,CABECA,OK,13.73,A,reparador.,,,-57.6,-21.5,0,0,ok
BOLETIM_RADIO_TJRN_27_04_2026_B4_CORTE_LUZ_SISTEMA_SOLAR_CABECA.mp3,CABECA,OK,7.83,A,energia.,,,-43.5,-36.8,0,0,ok
BOLETIM_RADIO_TJRN_27_04_2026_B6_ESTAGIO_JARDIM_PIRANHAS_CABECA.mp3,CABECA,OK,13.56,A,Cidadania.,,,-45.8,-45.3,0,0,ok
BOLETIM_RADIO_TJRN_27_04_2026_B8_TJRN_SESSAO_ORDINARIA_HIBRIDA__CABECA.mp3,CABECA,OK,6.6,3ª,abril.,,,-120.0,-33.2,0,0,ok
BOLETIM_RADIO_TJRN_28_04_2026_B10_TJRN_COOPERACAO_TECNICA_CABECA.mp3,CABECA,OK,5.88,assegurar,Pública.,,,-120.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_28_04_2026_B3_TJRN_EMPRESA_VESTUARIO_INDENIZACAO__CABECA.mp3,CABECA,OK,10.77,O,cliente.,,,-40.7,-50.0,0,0,ok
BOLETIM_RADIO_TJRN_28_04_2026_B6_TJRN_OPERACAO_RECEPTOR__CABECA.mp3,CABECA,OK,6.16,A,2.,,,-52.5,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_28_04_2026_B8_OABRN_LOCAIS_PROVA_ENAM_CABECA.mp3,CABECA,OK,12.03,A,Unificado.,,,-64.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_29_04_2026_B10_MPRN_OPERACAO_TRAFICO_DROGAS__CABECA.mp3,CABECA,OK,7.95,O,Tama.,,,-49.6,-28.8,0,0,ok
BOLETIM_RADIO_TJRN_29_04_2026_B3_INDENIZACAO_GELADEIRA_DEFEITUOSA_CABECA.mp3,CABECA,OK,8.16,O,clientes.,,,-50.7,-38.9,0,0,ok
BOLETIM_RADIO_TJRN_29_04_2026_B5_HOMICIDIO_CULPOSO_NEGADO_RECURSO_CABECA.mp3,CABECA,OK,14.7,A,socorro.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_29_04_2026_B8_TJRN_PROGRAMA_JUSTICA_E_ESCOLA__CABECA.mp3,CABECA,OK,12.99,O,docentes.,,,-48.0,-25.3,0,0,ok
BOLETIM_RADIO_TJRN_30_04_2026_B10_TRTRN_REVERTE_JUSTA_CAUSA__CABECA.mp3,CABECA,OK,4.89,E,sistema.,,,-120.0,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_30_04_2026_B4_TJRN_RECONHECE_VICIO_ACESSORIO__CABECA.mp3,CABECA,POSSIVEL_ALUCINACAO_WHISPER,0.2,Legendas,.org,texto bate com padrão de alucinação: 'Legendas pela comunidade de Amara.org',,,,,,
BOLETIM_RADIO_TJRN_30_04_2026_B5_TJRN_PACIENTE_ESCLEROSE_LATERAL_CABECA.mp3,CABECA,OK,15.78,O,respiratória.,,,-49.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_30_04_2026_B8_TJRN_CASO_POLLYANA_CONDENA_SEIS__CABECA.mp3,CABECA,OK,6.02,Caso,réus.,,,-120.0,-31.8,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CORPO.mp3,CORPO,OK,47.95,mas,administração,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CORPO.mp3,CORPO,OK,39.93,promoveu,"Oeste,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-25.5,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CORPO.mp3,CORPO,OK,30.48,é,.060.,,,-120.0,-55.3,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CORPO.mp3,CORPO,OK,38.14,consultas,isonomia.,,,-22.5,-70.3,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL__CORPO.mp3,CORPO,OK,49.55,Na,retroativas,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-78.3,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO__CORPO.mp3,CORPO,OK,38.93,A,cautelar.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CORPO.mp3,CORPO,OK,65.16,O,difícil.,,,-22.3,-28.7,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CORPO.mp3,CORPO,OK,60.89,após,morais.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CORPO.mp3,CORPO,OK,48.04,A,Cruz.,,,-120.0,-23.6,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CORPO.mp3,CORPO,OK,45.8,A,golpe...,,,-27.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CORPO.mp3,CORPO,OK,48.05,que,curador.,,,-22.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CORPO.mp3,CORPO,OK,72.25,O,NS.,,,-36.4,-70.3,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CORPO.mp3,CORPO,OK,23.8,Presidente,mesa.,,,-54.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CORPO.mp3,CORPO,OK,37.59,promovida,expectativa,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-31.5,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CORPO.mp3,CORPO,OK,31.25,A,TRTRN,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-27.5,-21.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CORPO.mp3,CORPO,OK,47.65,Neste,capital.,,,-22.4,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B1_TJRN_DECISAO_REALIZACAO_PERICIA_ASSINATURA__CORPO.mp3,CORPO,OK,48.93,A,imóvel.,,,-26.2,-26.9,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B2_TJRN_SUPERLOTACAO_CARCERARIA_PROGRESSAO_REGIME__CORPO.mp3,CORPO,OK,67.24,A,boa...,,,-23.1,-29.0,0,0,ok
