arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_10_04_2026_B7_TJRN_TRIPLO_HOMICIDIO_NISIA_FLORESTA_JURI_MANTIDO__CABECA.mp3,CABECA,OK,7.87,Curso,tentada.,,,-53.2,-120.0
BOLETIM_RADIO_TJRN_10_04_2026_B8_TJRN_DUPLA_CONDENADA_ASSALTO__CABECA.mp3,CABECA,OK,8.46,Tal,Natal.,,,-60.8,-120.0
BOLETIM_RADIO_TJRN_10_04_2026_B10_TJRN_DETERMINA_SUSPENSAO_ATO_CANDIDATA_APROVADA_CABECA.mp3,CABECA,OK,10.12,A,laboratório.,,,-63.1,-19.8
BOLETIM_RADIO_TJRN_10_04_2026_B9_TJRN_RECONHECE_DESCUMPRIMENTO_CONTRATUAL__CABECA.mp3,CABECA,OK,4.33,Primeiro,procedente.,,,-51.7,-27.5
BOLETIM_RADIO_TJRN_13_04_2026_B1_TJRN_CONDENA_PLATAFORMA_DIGITAL_FALHA__CABECA.mp3,CABECA,OK,9.3,Uma,Norte.,,,-120.0,-120.0
BOLETIM_RADIO_TJRN_13_04_2026_B2_TJRN_PARNAMIRIM_CONDENADO_ACIDENTE_TRANSPORTE__CABECA.mp3,CABECA,OK,5.8,O,transporte.,,,-120.0,-23.9
BOLETIM_RADIO_TJRN_13_04_2026_B3_TJRN_IPERN_CONDENADO_INDENIZAR_SERVIDORA__CABECA.mp3,CABECA,OK,4.57,e,aposentadoria.,,,-120.0,-25.0
BOLETIM_RADIO_TJRN_13_04_2026_B4_TJRN_ACUSADOS_CRIMES_TRAFICO__CABECA.mp3,CABECA,OK,5.68,Acusados,definidas.,,,-120.0,-33.1
BOLETIM_RADIO_TJRN_13_04_2026_B5_TJRN_PASSAGEIRA_RECEBEU_MALA_DANIFICADA__CABECA.mp3,CABECA,OK,10.84,Uma,internacional.,,,-84.3,-26.5
BOLETIM_RADIO_TJRN_13_04_2026_B6_TJRN_CONVOCA_45_TECNICOS__CABECA.mp3,CABECA,OK,12.72,A,AREI.,,,-120.0,-34.5
