arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B10_MPRN_ORIENTA_JARDIM_SERIDO_TAXI_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_EMPRESA_VAREJISTA_CONDENADA_NJUD_1917_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_EMPRESA_VAREJISTA_CONDENADA_NJUD_1917_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_NOVO_ARTIGO_REPORJURN_NJUD_1925_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_NOVO_ARTIGO_REPORJURN_NJUD_1925_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_PROJETO_ACESSIBILIDADE_FORUNS_NJUD_1930_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_PROJETO_ACESSIBILIDADE_FORUNS_NJUD_1930_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_CONSUMIDOR_GUINCHO_NOITE_NJUD_1917_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_CONSUMIDOR_GUINCHO_NOITE_NJUD_1917_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_ETAPAS_DO_CONCURSO_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_ETAPAS_DO_CONCURSO_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_INDISPONIBILIDADE_BENS_EX_PREFEITO_NJUD_1925_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_INDISPONIBILIDADE_BENS_EX_PREFEITO_NJUD_1925_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_1_VARA_PROCESSO_SELETIVO_NJUD_1925_CABECA.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_1_VARA_PROCESSO_SELETIVO_NJUD_1925_CORPO.mp3,26/05/2026,1878,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_COSERN_INDENIZA_MORADORA_INSTALACAO_NJUD_1917_CABECA.mp3,26/05/2026,1878,pronto_renomear
